이학재,9770625,PRC_X1G6D1N1A2S4Y1G5I5W8B4T1L5R7I2,2018 평창 동계올림픽대회 및 동계패럴림픽대회 지원 등에 관한 특별법 일부개정법률안(대안),0
이학재,9770625,PRC_C1I6P1V1W2T3J1L1U2R5C5N8F2J5V1,화학물질관리법 일부개정법률안(대안),0
이학재,9770625,PRC_J1D6J0D7Q2V6U1P1F0T3Q4G9X0B7W2,2016년도 신용보증기금운용계획변경안,0
이학재,9770625,PRC_T1I6M1L1R0I4M1P7R3V6R2B4W6W7V9,감염병의 예방 및 관리에 관한 법률 일부개정법률안(대안),0
이학재,9770625,PRC_Y1R6P1A1A0I9P1P7N4A0X0B1O6J8B6,지방교육재정교부금법 일부개정법률안,0
이학재,9770625,PRC_P1G6Q1K1L2W4E1V6N0W1X3Q1Q8C5X7,국민체육진흥법 일부개정법률안(대안),0
이학재,9770625,PRC_R1G6I0Y7A2N6Q1F1W0P5Y1I2W7A0P1,2016년도 관광진흥개발기금운용계획변경안,0
이학재,9770625,PRC_E1X6K1H1L2D4E1S5X5L2H4H2B9D7O0,고등교육법 일부개정법률안(대안),0
이학재,9770625,PRC_I1Q6K1W1Y2E3G1C1S1B9J3L7L0J6W6,악취방지법 일부개정법률안(대안),0
이학재,9770625,PRC_A1H6J1T1O2Y4E1Y5G5T4B2U9D7Q2Z3,교육환경 보호에 관한 법률 일부개정법률안(대안),0
이학재,9770625,PRC_S1A6U0I7H2A6W1Y1Y0F3K3U0Q5M4M0,2016년도 기술신용보증기금운용계획변경안,0
이학재,9770625,PRC_I1Z6N0V7W2O6L1W1T0R6W1P4S0W1T8,2016년도 중소기업창업 및 진흥기금운용계획변경안,0
이학재,9770625,PRC_E1K6K1O1A2H3T1R1C2B4M3J7A1A0W1,다중이용시설 등의 실내공기질관리법 일부개정법률안(대안),0
이학재,9770625,PRC_B1K6U1O1S2Y5L1N4H2Z9U3F3U8S1I0,산업재해보상보험법 일부개정법률안(대안),0
이학재,9770625,PRC_H1U6A0D7I2U6Z1H6L1E2A3R1X3O3Y9,대한민국과 유럽연합 간의 대한민국의 유럽연합 위기관리활동 참여를 위한 기본협정 비준동의안,0
이학재,9770625,PRC_H1Y6N0Q7E2Z6G1E1M0H5N5N0X4J3O6,2016년도 무역보험기금운용계획변경안,0
이학재,9770625,PRC_O1X6R1E1A2P4Z1B4W5W8L1N8U1F7B7,대기환경보전법 일부개정법률안(대안),0
이학재,9770625,PRC_U1C6D1B1D3J0Z1F6D2D1F5D4V2G1Z7,국세기본법 일부개정법률안(대안),0
이학재,9770625,PRC_M1U6L0S6F1M4B1O7S2U7H1O2Y3X6T8,대한민국 정부와 케냐공화국 정부 간의 소득에 대한 조세의 이중과세 방지와 탈세 예방을 위한 협약 비준동의안,0
이학재,9770625,PRC_E1L6F0H6M1P4L1H7S5O4Y3S0Q2A6S6,대한민국 정부와 투르크메니스탄 정부 간의 소득에 대한 조세의 이중과세 방지와 탈세 예방을 위한 협약 비준동의안,0
이학재,9770625,PRC_Q1G6G1O1Q0H9Q2I0X5H0V2C6P1X8C6,도시가스사업법 일부개정법률안(대안),0
이학재,9770625,PRC_I1M6X0N7N0G5F1Y7W3A7A0B7L5Z3A5,정치발전 특별위원회 구성결의안,0
이학재,9770625,PRC_R1M6T0I7Y0U6U1P3S5C2P2R7Q8W8E2,가습기살균제 사고 진상규명과 피해구제 및 재발방지 대책마련을 위한 국정조사계획서  승인의 건,0
이학재,9770625,PRC_E1P6S0C7L2S6C1C1G0D6B4O1P8P6K4,2016년도 소상공인시장진흥기금운용계획변경안,0
이학재,9770625,PRC_P1F6E0M9O0X1E0Z0G3R5N1Q7T1G4U0,2015회계연도 결산 관련 감사원에 대한 감사요구안,0
이학재,9770625,PRC_F1F6L0I7T1S4W1A6Q1Q9T5B5W0R3K6,대한민국 정부와 건지 정부 간의 조세정보 교환을 위한 협정 비준동의안,0
이학재,9770625,PRC_P1X6T1Q1T3R0B2P0Y0Q9Y4G0N6Q4N1,조세특례제한법 일부개정법률안(대안),0
