민경욱,9770964,2004022,2018 평창 동계올림픽대회 및 동계패럴림픽대회 지원 등에 관한 특별법 일부개정법률안(대안),1
민경욱,9770964,2003657,모자보건법 일부개정법률안(대안),1
민경욱,9770964,2003680,박근혜 정부의 최순실 등 민간인에 의한 국정농단 의혹 사건 진상규명을 위한 국정조사계획서 승인의 건,1
민경욱,9770964,2003659,감염병의 예방 및 관리에 관한 법률 일부개정법률안(대안),1
민경욱,9770964,2004007,군인사법 일부개정법률안(대안),1
민경욱,9770964,2000232,대한민국 정부와 케냐공화국 정부 간의 소득에 대한 조세의 이중과세 방지와 탈세 예방을 위한 협약 비준동의안,1
민경욱,9770964,2003664,도로교통법 일부개정법률안(대안),1
민경욱,9770964,2000689,가습기살균제 사고 진상규명과 피해구제 및 재발방지 대책마련을 위한 국정조사계획서  승인의 건,1
민경욱,9770964,2004207,공공기관의 운영에 관한 법률 일부개정법률안(대안),1
민경욱,9770964,2004209,화학물질관리법 일부개정법률안(대안),1
민경욱,9770964,2004210,수질 및 수생태계 보전에 관한 법률 일부개정법률안(대안),1
민경욱,9770964,2001178,2016년도 소상공인시장진흥기금운용계획변경안,1
민경욱,9770964,2001177,2016년도 중소기업창업 및 진흥기금운용계획변경안,1
민경욱,9770964,2004213,청년고용촉진 특별법 일부개정법률안,1
민경욱,9770964,2004015,게임산업진흥에 관한 법률 일부개정법률안(대안),1
민경욱,9770964,2004018,교육환경 보호에 관한 법률 일부개정법률안(대안),1
민경욱,9770964,2003229,저출산·고령화 대책 전담 총괄기구 마련 촉구 결의안,1
민경욱,9770964,2002157,2017년도 무역보험계약체결한도에 대한 동의안,1
민경욱,9770964,2004212,고용보험 및 산업재해보상보험의 보험료징수 등에 관한 법률 일부개정법률안(대안),1
민경욱,9770964,2003428,국가재정법 일부개정법률안,1
민경욱,9770964,2000245,1991년 6월 21일 서울에서 서명된 대한민국 정부와 폴란드공화국 정부 간의 소득에 대한 조세의 이중과세 회피와 탈세 방지를 위한 협약의 개정의정서 비준동의안,1
민경욱,9770964,2004023,고등교육법 일부개정법률안(대안),1
민경욱,9770964,2004057,관세법 일부개정법률안(대안),1
민경욱,9770964,2001171,2016년도 기술신용보증기금운용계획변경안,1
민경욱,9770964,2001175,2016년도 관광진흥개발기금운용계획변경안,1
민경욱,9770964,2003663,전통시장 및 상점가 육성을 위한 특별법 일부개정법률안(대안),1
